Geographic area,Indicator,Sex,TIME_PERIOD,OBS_VALUE,Unit multiplier,Unit of measure,Observation Status,Observation confidentaility,LOWER_BOUND,UPPER_BOUND,WGTD_SAMPL_SIZE,OBS_FOOTNOTE,SERIES_FOOTNOTE,DATA_SOURCE,SOURCE_LINK,CUSTODIAN,Time period activity related to when the data are collected,REF_PERIOD,COVERAGE_TIME,Current age
Afghanistan,Total population,Female,2005,12414.59,Thousands,Persons,,,,,,,,UNPD2019,,,,,,
Afghanistan,Total population,Female,2006,12809.162,Thousands,Persons,,,,,,,,UNPD2019,,,,,,
Afghanistan,Total population,Female,2007,13161.572,Thousands,Persons,,,,,,,,UNPD2019,,,,,,
Afghanistan,Total population,Female,2008,13496.556,Thousands,Persons,,,,,,,,UNPD2019,,,,,,
Afghanistan,Total population,Female,2009,13850.751,Thousands,Persons,,,,,,,,UNPD2019,,,,,,
Afghanistan,Total population,Female,2010,14249.755,Thousands,Persons,,,,,,,,UNPD2019,,,,,,
Afghanistan,Total population,Female,2011,14702.05,Thousands,Persons,,,,,,,,UNPD2019,,,,,,
Afghanistan,Total population,Female,2012,15196.504,Thousands,Persons,,,,,,,,UNPD2019,,,,,,
Afghanistan,Total population,Female,2013,15715.314,Thousands,Persons,,,,,,,,UNPD2019,,,,,,
Afghanistan,Total population,Female,2014,16232.001,Thousands,Persons,,,,,,,,UNPD2019,,,,,,
Afghanistan,Total population,Female,2015,16727.437,Thousands,Persons,,,,,,,,UNPD2019,,,,,,
Afghanistan,Total population,Female,2016,17196.034,Thousands,Persons,,,,,,,,UNPD2019,,,,,,
Afghanistan,Total population,Female,2017,17644.126,Thousands,Persons,,,,,,,,UNPD2019,,,,,,
Afghanistan,Total population,Female,2018,18078.879,Thousands,Persons,,,,,,,,UNPD2019,,,,,,
Afghanistan,Total population,Female,2019,18512.03,Thousands,Persons,,,,,,,,UNPD2019,,,,,,
Afghanistan,Total population,Female,2020,18952.076,Thousands,Persons,,,,,,,,UNPD2019,,,,,,
Afghanistan,Infant mortality rate,Female,1970,190.773170610668,,Deaths per 1000 live births,Normal value,,167.265671829873,219.760010664015,,,,UN_IGME,,,,,,Total
Afghanistan,Infant mortality rate,Female,1971,187.176559759748,,Deaths per 1000 live births,Normal value,,164.033458721844,215.734483834593,,,,UN_IGME,,,,,,Total
Afghanistan,Infant mortality rate,Female,1972,183.533729596565,,Deaths per 1000 live births,Normal value,,161.140843855027,211.65742571694,,,,UN_IGME,,,,,,Total
Afghanistan,Infant mortality rate,Female,1973,179.8716430357,,Deaths per 1000 live births,Normal value,,158.132430224616,207.374340806393,,,,UN_IGME,,,,,,Total
Afghanistan,Infant mortality rate,Female,1974,176.201826930216,,Deaths per 1000 live births,Normal value,,155.240938293545,203.127540119614,,,,UN_IGME,,,,,,Total
Afghanistan,Infant mortality rate,Female,1975,172.421187677455,,Deaths per 1000 live births,Normal value,,151.973033092831,198.204502564898,,,,UN_IGME,,,,,,Total
Afghanistan,Infant mortality rate,Female,1976,168.80031167474,,Deaths per 1000 live births,Normal value,,149.030533897007,193.541673790173,,,,UN_IGME,,,,,,Total
Afghanistan,Infant mortality rate,Female,1977,164.993006836141,,Deaths per 1000 live births,Normal value,,145.889026478655,188.629670412913,,,,UN_IGME,,,,,,Total
Afghanistan,Infant mortality rate,Female,1978,161.060922211461,,Deaths per 1000 live births,Normal value,,142.680686027466,183.788672223551,,,,UN_IGME,,,,,,Total
Afghanistan,Infant mortality rate,Female,1979,157.176129403298,,Deaths per 1000 live births,Normal value,,139.599320165113,178.96674229106,,,,UN_IGME,,,,,,Total
Afghanistan,Infant mortality rate,Female,1980,153.191269812825,,Deaths per 1000 live births,Normal value,,136.544668389773,174.289348284599,,,,UN_IGME,,,,,,Total
Afghanistan,Infant mortality rate,Female,1981,149.204975284097,,Deaths per 1000 live births,Normal value,,133.325741805218,169.328190935295,,,,UN_IGME,,,,,,Total
Afghanistan,Infant mortality rate,Female,1982,145.034770000336,,Deaths per 1000 live births,Normal value,,130.21426681501,164.75918755339,,,,UN_IGME,,,,,,Total
Afghanistan,Infant mortality rate,Female,1983,141.120467072528,,Deaths per 1000 live births,Normal value,,127.064983998249,159.709607122568,,,,UN_IGME,,,,,,Total
Afghanistan,Infant mortality rate,Female,1984,137.257435933879,,Deaths per 1000 live births,Normal value,,123.989872466356,154.811308092802,,,,UN_IGME,,,,,,Total
Afghanistan,Infant mortality rate,Female,1985,133.344279164806,,Deaths per 1000 live births,Normal value,,120.76099811143,149.394511136788,,,,UN_IGME,,,,,,Total
Afghanistan,Infant mortality rate,Female,1986,129.419939689193,,Deaths per 1000 live births,Normal value,,117.632153088319,144.222002259096,,,,UN_IGME,,,,,,Total
Afghanistan,Infant mortality rate,Female,1987,125.660219209928,,Deaths per 1000 live births,Normal value,,114.390381946708,139.239563047205,,,,UN_IGME,,,,,,Total
Afghanistan,Infant mortality rate,Female,1988,121.84845636558,,Deaths per 1000 live births,Normal value,,111.278940806865,134.273850171977,,,,UN_IGME,,,,,,Total
Afghanistan,Infant mortality rate,Female,1989,117.964037110835,,Deaths per 1000 live births,Normal value,,108.075053800013,129.522301914092,,,,UN_IGME,,,,,,Total
Afghanistan,Infant mortality rate,Female,1990,114.232182396896,,Deaths per 1000 live births,Normal value,,105.134810510911,124.725804449953,,,,UN_IGME,,,,,,Total
Afghanistan,Infant mortality rate,Female,1991,110.704514597943,,Deaths per 1000 live births,Normal value,,102.147702933903,120.384635221152,,,,UN_IGME,,,,,,Total
Afghanistan,Infant mortality rate,Female,1992,107.307847577365,,Deaths per 1000 live births,Normal value,,99.1701366577609,116.296954126429,,,,UN_IGME,,,,,,Total
Afghanistan,Infant mortality rate,Female,1993,104.002167643494,,Deaths per 1000 live births,Normal value,,96.3409986432383,112.363596097124,,,,UN_IGME,,,,,,Total
Afghanistan,Infant mortality rate,Female,1994,100.875452100842,,Deaths per 1000 live births,Normal value,,93.5200113250166,108.845886506973,,,,UN_IGME,,,,,,Total
Afghanistan,Infant mortality rate,Female,1995,97.9557377275697,,Deaths per 1000 live births,Normal value,,90.8261867818033,105.490261950804,,,,UN_IGME,,,,,,Total
Afghanistan,Infant mortality rate,Female,1996,94.9994184100451,,Deaths per 1000 live births,Normal value,,88.2114038728397,102.076994743323,,,,UN_IGME,,,,,,Total
Afghanistan,Infant mortality rate,Female,1997,92.2974638314853,,Deaths per 1000 live births,Normal value,,85.7850960286546,99.1901603346454,,,,UN_IGME,,,,,,Total
Afghanistan,Infant mortality rate,Female,1998,89.6900943619816,,Deaths per 1000 live births,Normal value,,83.5403909084673,96.4065184598424,,,,UN_IGME,,,,,,Total
Afghanistan,Infant mortality rate,Female,1999,87.2315528605029,,Deaths per 1000 live births,Normal value,,81.241876513641,93.7289184962751,,,,UN_IGME,,,,,,Total
Afghanistan,Infant mortality rate,Female,2000,84.7809034486113,,Deaths per 1000 live births,Normal value,,79.0491792928134,91.1481276748244,,,,UN_IGME,,,,,,Total
Afghanistan,Infant mortality rate,Female,2001,82.3717514895149,,Deaths per 1000 live births,Normal value,,76.8479554605005,88.5265578491604,,,,UN_IGME,,,,,,Total
Afghanistan,Infant mortality rate,Female,2002,79.9357676786115,,Deaths per 1000 live births,Normal value,,74.6377418203991,86.052911290399,,,,UN_IGME,,,,,,Total
Afghanistan,Infant mortality rate,Female,2003,77.4037741931209,,Deaths per 1000 live births,Normal value,,72.3088251300023,83.2794060889459,,,,UN_IGME,,,,,,Total
Afghanistan,Infant mortality rate,Female,2004,74.8483513130641,,Deaths per 1000 live births,Normal value,,69.9272141890892,80.4531736925805,,,,UN_IGME,,,,,,Total
Afghanistan,Infant mortality rate,Female,2005,72.3226455527047,,Deaths per 1000 live births,Normal value,,67.5384716351194,77.6763375103229,,,,UN_IGME,,,,,,Total
Afghanistan,Infant mortality rate,Female,2006,69.7233018976249,,Deaths per 1000 live births,Normal value,,65.0851074080815,75.0013071897254,,,,UN_IGME,,,,,,Total
Afghanistan,Infant mortality rate,Female,2007,67.2085644416008,,Deaths per 1000 live births,Normal value,,62.7205637495319,72.3171655696772,,,,UN_IGME,,,,,,Total
Afghanistan,Infant mortality rate,Female,2008,64.6954206991728,,Deaths per 1000 live births,Normal value,,60.2366647577646,69.7948082769944,,,,UN_IGME,,,,,,Total
Afghanistan,Infant mortality rate,Female,2009,62.3168094805724,,Deaths per 1000 live births,Normal value,,57.8471791231866,67.4321870620699,,,,UN_IGME,,,,,,Total
Afghanistan,Infant mortality rate,Female,2010,60.022910316888,,Deaths per 1000 live births,Normal value,,55.4846718926783,65.1608997924339,,,,UN_IGME,,,,,,Total
Afghanistan,Infant mortality rate,Female,2011,57.7288584864526,,Deaths per 1000 live births,Normal value,,53.0438877565259,63.0958575224329,,,,UN_IGME,,,,,,Total
Afghanistan,Infant mortality rate,Female,2012,55.5577503856985,,Deaths per 1000 live births,Normal value,,50.6332144362174,61.1032375600678,,,,UN_IGME,,,,,,Total
Afghanistan,Infant mortality rate,Female,2013,53.4347818726933,,Deaths per 1000 live births,Normal value,,48.2002148455661,59.1885830900973,,,,UN_IGME,,,,,,Total
Afghanistan,Infant mortality rate,Female,2014,51.4269504966323,,Deaths per 1000 live births,Normal value,,45.842117883836,57.4970999384024,,,,UN_IGME,,,,,,Total
Afghanistan,Infant mortality rate,Female,2015,49.5442666026643,,Deaths per 1000 live births,Normal value,,43.3934231706402,55.9446594010079,,,,UN_IGME,,,,,,Total
Afghanistan,Infant mortality rate,Female,2016,47.7539706002814,,Deaths per 1000 live births,Normal value,,41.0119498127856,54.3791500692982,,,,UN_IGME,,,,,,Total
Afghanistan,Infant mortality rate,Female,2017,46.1192358042126,,Deaths per 1000 live births,Normal value,,38.9467815281702,53.2021066769446,,,,UN_IGME,,,,,,Total
Afghanistan,Infant mortality rate,Female,2018,44.5594397448781,,Deaths per 1000 live births,Normal value,,36.8761546137565,52.4326060378026,,,,UN_IGME,,,,,,Total
Afghanistan,Infant mortality rate,Female,2019,43.0507312649387,,Deaths per 1000 live births,Normal value,,34.8164281627261,51.9588790560919,,,,UN_IGME,,,,,,Total
Afghanistan,Under-five mortality rate,Female,1970,292.870699592874,,Deaths per 1000 live births,Normal value,,257.963378298448,334.454575691496,,,,UN_IGME,,,,,,Total
Afghanistan,Under-five mortality rate,Female,1971,287.418087790872,,Deaths per 1000 live births,Normal value,,253.262957212233,328.770220567425,,,,UN_IGME,,,,,,Total
Afghanistan,Under-five mortality rate,Female,1972,282.036423491161,,Deaths per 1000 live births,Normal value,,248.705370399823,322.892018286777,,,,UN_IGME,,,,,,Total
Afghanistan,Under-five mortality rate,Female,1973,276.502478440765,,Deaths per 1000 live births,Normal value,,244.092287616766,316.509114579694,,,,UN_IGME,,,,,,Total
Afghanistan,Under-five mortality rate,Female,1974,270.852006076133,,Deaths per 1000 live births,Normal value,,239.650416794091,309.917496758508,,,,UN_IGME,,,,,,Total
Afghanistan,Under-five mortality rate,Female,1975,265.360806726639,,Deaths per 1000 live births,Normal value,,234.763555458596,303.186769740535,,,,UN_IGME,,,,,,Total
Afghanistan,Under-five mortality rate,Female,1976,259.620267598966,,Deaths per 1000 live births,Normal value,,230.151947063057,295.816658433609,,,,UN_IGME,,,,,,Total
Afghanistan,Under-five mortality rate,Female,1977,253.632065247348,,Deaths per 1000 live births,Normal value,,225.35800762735,288.597436386521,,,,UN_IGME,,,,,,Total
Afghanistan,Under-five mortality rate,Female,1978,247.814213744085,,Deaths per 1000 live births,Normal value,,220.240450763228,281.534360761575,,,,UN_IGME,,,,,,Total
Afghanistan,Under-five mortality rate,Female,1979,241.720185765555,,Deaths per 1000 live births,Normal value,,215.099925053268,274.47112163851,,,,UN_IGME,,,,,,Total
Afghanistan,Under-five mortality rate,Female,1980,235.77579664186,,Deaths per 1000 live births,Normal value,,209.978867101805,267.279941975694,,,,UN_IGME,,,,,,Total
Afghanistan,Under-five mortality rate,Female,1981,229.471607844676,,Deaths per 1000 live births,Normal value,,204.676425757376,260.051203121016,,,,UN_IGME,,,,,,Total
Afghanistan,Under-five mortality rate,Female,1982,223.163352863617,,Deaths per 1000 live births,Normal value,,199.67162483927,252.924975686829,,,,UN_IGME,,,,,,Total
Afghanistan,Under-five mortality rate,Female,1983,216.779467959163,,Deaths per 1000 live births,Normal value,,194.547306746115,245.016428972679,,,,UN_IGME,,,,,,Total
Afghanistan,Under-five mortality rate,Female,1984,210.566968232674,,Deaths per 1000 live births,Normal value,,189.29147414823,237.470305293843,,,,UN_IGME,,,,,,Total
Afghanistan,Under-five mortality rate,Female,1985,204.168512148952,,Deaths per 1000 live births,Normal value,,183.984882887617,229.248135033363,,,,UN_IGME,,,,,,Total
Afghanistan,Under-five mortality rate,Female,1986,197.9248372509,,Deaths per 1000 live births,Normal value,,178.739849338012,221.235251282076,,,,UN_IGME,,,,,,Total
Afghanistan,Under-five mortality rate,Female,1987,191.694540589311,,Deaths per 1000 live births,Normal value,,173.632235548705,213.222685422892,,,,UN_IGME,,,,,,Total
Afghanistan,Under-five mortality rate,Female,1988,185.329086033719,,Deaths per 1000 live births,Normal value,,168.465855740927,205.22065155186,,,,UN_IGME,,,,,,Total
Afghanistan,Under-five mortality rate,Female,1989,179.184842772814,,Deaths per 1000 live births,Normal value,,163.087593695172,197.325754261834,,,,UN_IGME,,,,,,Total
Afghanistan,Under-five mortality rate,Female,1990,173.057497347757,,Deaths per 1000 live births,Normal value,,158.043691265515,189.732740086129,,,,UN_IGME,,,,,,Total
Afghanistan,Under-five mortality rate,Female,1991,167.076579725253,,Deaths per 1000 live births,Normal value,,152.970684039234,182.569882535756,,,,UN_IGME,,,,,,Total
Afghanistan,Under-five mortality rate,Female,1992,161.370732017016,,Deaths per 1000 live births,Normal value,,148.084079380195,175.714819922796,,,,UN_IGME,,,,,,Total
Afghanistan,Under-five mortality rate,Female,1993,155.899215664221,,Deaths per 1000 live births,Normal value,,143.19999547887,169.429893050182,,,,UN_IGME,,,,,,Total
Afghanistan,Under-five mortality rate,Female,1994,150.659542247585,,Deaths per 1000 live births,Normal value,,138.490161825088,163.493786606203,,,,UN_IGME,,,,,,Total
Afghanistan,Under-five mortality rate,Female,1995,145.728494535381,,Deaths per 1000 live births,Normal value,,134.352926004425,157.902142948471,,,,UN_IGME,,,,,,Total
Afghanistan,Under-five mortality rate,Female,1996,140.968096696229,,Deaths per 1000 live births,Normal value,,130.053420840902,152.603576479675,,,,UN_IGME,,,,,,Total
Afghanistan,Under-five mortality rate,Female,1997,136.540442710264,,Deaths per 1000 live births,Normal value,,126.264129303818,147.591569076557,,,,UN_IGME,,,,,,Total
Afghanistan,Under-five mortality rate,Female,1998,132.353449363296,,Deaths per 1000 live births,Normal value,,122.485482533977,142.980405289801,,,,UN_IGME,,,,,,Total
Afghanistan,Under-five mortality rate,Female,1999,128.274565533129,,Deaths per 1000 live births,Normal value,,118.808745042363,138.523280480956,,,,UN_IGME,,,,,,Total
Afghanistan,Under-five mortality rate,Female,2000,124.225846742979,,Deaths per 1000 live births,Normal value,,115.183421610363,134.30395458942,,,,UN_IGME,,,,,,Total
Afghanistan,Under-five mortality rate,Female,2001,120.23139083629,,Deaths per 1000 live births,Normal value,,111.458652760996,129.919277959133,,,,UN_IGME,,,,,,Total
Afghanistan,Under-five mortality rate,Female,2002,116.15805782349,,Deaths per 1000 live births,Normal value,,107.790948081518,125.79893768688,,,,UN_IGME,,,,,,Total
Afghanistan,Under-five mortality rate,Female,2003,112.012929979032,,Deaths per 1000 live births,Normal value,,104.004401120664,121.280056923817,,,,UN_IGME,,,,,,Total
Afghanistan,Under-five mortality rate,Female,2004,107.893358245316,,Deaths per 1000 live births,Normal value,,100.113715082323,116.743734500693,,,,UN_IGME,,,,,,Total
Afghanistan,Under-five mortality rate,Female,2005,103.716807780757,,Deaths per 1000 live births,Normal value,,96.2049500509776,112.226167132136,,,,UN_IGME,,,,,,Total
Afghanistan,Under-five mortality rate,Female,2006,99.549449127548,,Deaths per 1000 live births,Normal value,,92.2854052046612,107.759685314063,,,,UN_IGME,,,,,,Total
Afghanistan,Under-five mortality rate,Female,2007,95.4295149682145,,Deaths per 1000 live births,Normal value,,88.380006673442,103.401423369195,,,,UN_IGME,,,,,,Total
Afghanistan,Under-five mortality rate,Female,2008,91.3945098991643,,Deaths per 1000 live births,Normal value,,84.4352782068285,99.3469415450932,,,,UN_IGME,,,,,,Total
Afghanistan,Under-five mortality rate,Female,2009,87.4669147915414,,Deaths per 1000 live births,Normal value,,80.5179794444544,95.5086795617839,,,,UN_IGME,,,,,,Total
Afghanistan,Under-five mortality rate,Female,2010,83.7080076538885,,Deaths per 1000 live births,Normal value,,76.4827291912465,91.8143338586859,,,,UN_IGME,,,,,,Total
Afghanistan,Under-five mortality rate,Female,2011,80.0408904063711,,Deaths per 1000 live births,Normal value,,72.6855241711731,88.3913945150979,,,,UN_IGME,,,,,,Total
Afghanistan,Under-five mortality rate,Female,2012,76.4539848899718,,Deaths per 1000 live births,Normal value,,68.7737679615766,85.0915426890911,,,,UN_IGME,,,,,,Total
Afghanistan,Under-five mortality rate,Female,2013,73.027193593542,,Deaths per 1000 live births,Normal value,,64.9118413267835,81.9974627451381,,,,UN_IGME,,,,,,Total
Afghanistan,Under-five mortality rate,Female,2014,69.7807308216183,,Deaths per 1000 live births,Normal value,,61.0267365268845,79.078254409508,,,,UN_IGME,,,,,,Total
Afghanistan,Under-five mortality rate,Female,2015,66.7296593857926,,Deaths per 1000 live births,Normal value,,57.285943401928,76.6248696112186,,,,UN_IGME,,,,,,Total
Afghanistan,Under-five mortality rate,Female,2016,63.8656782699811,,Deaths per 1000 live births,Normal value,,53.7553411371721,74.3935516242132,,,,UN_IGME,,,,,,Total
Afghanistan,Under-five mortality rate,Female,2017,61.2524314696496,,Deaths per 1000 live births,Normal value,,50.5023009501739,72.5164442346905,,,,UN_IGME,,,,,,Total
Afghanistan,Under-five mortality rate,Female,2018,58.8380904989524,,Deaths per 1000 live births,Normal value,,47.5094153206035,71.0875950149273,,,,UN_IGME,,,,,,Total
Afghanistan,Under-five mortality rate,Female,2019,56.5660573926649,,Deaths per 1000 live births,Normal value,,44.5375091626595,70.1786930695122,,,,UN_IGME,,,,,,Total
Afghanistan,Child mortality rate (aged 1-4 years),Female,1970,126.097520417206,,Deaths per 1000 children aged 1,Normal value,,108.38711547284,147.568206661569,,,,UN_IGME,,,,,,Total
Afghanistan,Child mortality rate (aged 1-4 years),Female,1971,123.373549435712,,Deaths per 1000 children aged 1,Normal value,,106.059874849427,144.851433428019,,,,UN_IGME,,,,,,Total
Afghanistan,Child mortality rate (aged 1-4 years),Female,1972,120.631384056586,,Deaths per 1000 children aged 1,Normal value,,103.688815494139,141.83235771677,,,,UN_IGME,,,,,,Total
Afghanistan,Child mortality rate (aged 1-4 years),Female,1973,117.885101931947,,Deaths per 1000 children aged 1,Normal value,,101.349558298446,138.428110020227,,,,UN_IGME,,,,,,Total
Afghanistan,Child mortality rate (aged 1-4 years),Female,1974,115.041924686375,,Deaths per 1000 children aged 1,Normal value,,99.0311166170684,135.064869772667,,,,UN_IGME,,,,,,Total
Afghanistan,Child mortality rate (aged 1-4 years),Female,1975,112.131883694077,,Deaths per 1000 children aged 1,Normal value,,96.8548009552789,131.497333609696,,,,UN_IGME,,,,,,Total
Afghanistan,Child mortality rate (aged 1-4 years),Female,1976,109.274696071149,,Deaths per 1000 children aged 1,Normal value,,94.607721677878,127.84297809509,,,,UN_IGME,,,,,,Total
Afghanistan,Child mortality rate (aged 1-4 years),Female,1977,106.386662149172,,Deaths per 1000 children aged 1,Normal value,,92.2077659816916,124.120333866131,,,,UN_IGME,,,,,,Total
Afghanistan,Child mortality rate (aged 1-4 years),Female,1978,103.44850327837,,Deaths per 1000 children aged 1,Normal value,,89.7485988076354,120.469227191621,,,,UN_IGME,,,,,,Total
Afghanistan,Child mortality rate (aged 1-4 years),Female,1979,100.44265643864,,Deaths per 1000 children aged 1,Normal value,,87.2051390445761,117.030827902374,,,,UN_IGME,,,,,,Total
Afghanistan,Child mortality rate (aged 1-4 years),Female,1980,97.3981604751019,,Deaths per 1000 children aged 1,Normal value,,84.5417719800918,113.379750282557,,,,UN_IGME,,,,,,Total
Afghanistan,Child mortality rate (aged 1-4 years),Female,1981,94.3632283167548,,Deaths per 1000 children aged 1,Normal value,,82.0167242761174,109.71527452358,,,,UN_IGME,,,,,,Total
Afghanistan,Child mortality rate (aged 1-4 years),Female,1982,91.3092813042631,,Deaths per 1000 children aged 1,Normal value,,79.3934653400444,105.978314898337,,,,UN_IGME,,,,,,Total
Afghanistan,Child mortality rate (aged 1-4 years),Female,1983,88.2510240917714,,Deaths per 1000 children aged 1,Normal value,,76.7308465774152,102.177388014029,,,,UN_IGME,,,,,,Total
Afghanistan,Child mortality rate (aged 1-4 years),Female,1984,85.0438520361984,,Deaths per 1000 children aged 1,Normal value,,74.0647362941534,98.2516388538918,,,,UN_IGME,,,,,,Total
Afghanistan,Child mortality rate (aged 1-4 years),Female,1985,81.7852085001901,,Deaths per 1000 children aged 1,Normal value,,71.5635511868975,94.3310230532799,,,,UN_IGME,,,,,,Total
Afghanistan,Child mortality rate (aged 1-4 years),Female,1986,78.6055789542413,,Deaths per 1000 children aged 1,Normal value,,68.9421099618835,90.401147312054,,,,UN_IGME,,,,,,Total
Afghanistan,Child mortality rate (aged 1-4 years),Female,1987,75.4893119666814,,Deaths per 1000 children aged 1,Normal value,,66.4681383328041,86.3305914113638,,,,UN_IGME,,,,,,Total
Afghanistan,Child mortality rate (aged 1-4 years),Female,1988,72.405798802337,,Deaths per 1000 children aged 1,Normal value,,63.9368778090745,82.0929670762339,,,,UN_IGME,,,,,,Total
Afghanistan,Child mortality rate (aged 1-4 years),Female,1989,69.3083050942097,,Deaths per 1000 children aged 1,Normal value,,61.3049012546466,78.1652679076047,,,,UN_IGME,,,,,,Total
Afghanistan,Child mortality rate (aged 1-4 years),Female,1990,66.3391559767705,,Deaths per 1000 children aged 1,Normal value,,58.7314697847833,74.6045013810654,,,,UN_IGME,,,,,,Total
Afghanistan,Child mortality rate (aged 1-4 years),Female,1991,63.3195767928909,,Deaths per 1000 children aged 1,Normal value,,56.2648781252282,71.0473313946301,,,,UN_IGME,,,,,,Total
Afghanistan,Child mortality rate (aged 1-4 years),Female,1992,60.4876072157427,,Deaths per 1000 children aged 1,Normal value,,53.8198686531269,67.811311008315,,,,UN_IGME,,,,,,Total
Afghanistan,Child mortality rate (aged 1-4 years),Female,1993,57.8220429810764,,Deaths per 1000 children aged 1,Normal value,,51.5698305851454,64.6404354315131,,,,UN_IGME,,,,,,Total
Afghanistan,Child mortality rate (aged 1-4 years),Female,1994,55.3366636161408,,Deaths per 1000 children aged 1,Normal value,,49.4886414518362,61.6990370095557,,,,UN_IGME,,,,,,Total
Afghanistan,Child mortality rate (aged 1-4 years),Female,1995,52.969636448861,,Deaths per 1000 children aged 1,Normal value,,47.5408948969438,59.0264284240002,,,,UN_IGME,,,,,,Total
Afghanistan,Child mortality rate (aged 1-4 years),Female,1996,50.7468408918456,,Deaths per 1000 children aged 1,Normal value,,45.6727562680833,56.4785722496897,,,,UN_IGME,,,,,,Total
Afghanistan,Child mortality rate (aged 1-4 years),Female,1997,48.7036353034042,,Deaths per 1000 children aged 1,Normal value,,43.8809742876053,54.0953139519426,,,,UN_IGME,,,,,,Total
Afghanistan,Child mortality rate (aged 1-4 years),Female,1998,46.7796931576989,,Deaths per 1000 children aged 1,Normal value,,42.1802364388945,51.8821788608832,,,,UN_IGME,,,,,,Total
Afghanistan,Child mortality rate (aged 1-4 years),Female,1999,44.8894471006699,,Deaths per 1000 children aged 1,Normal value,,40.5470883248185,49.7789296255639,,,,UN_IGME,,,,,,Total
